,urls,proc_pid,udp,tcp,hosts,requests,domains,proc,file_created,dll_loaded,regkey_opened,command_line,regkey_read,regkey_written
79,204,-1,-1,-1,-1,-1,-1,-1,838,-1,122,-1,335,-1
80,459,-1,-1,-1,-1,-1,-1,-1,709,-1,81,-1,2019,-1
81,136,-1,-1,-1,-1,-1,-1,-1,318,-1,49,-1,2119,-1
82,447,-1,-1,-1,-1,-1,-1,-1,812,-1,466,-1,1594,-1
83,162,-1,-1,-1,-1,-1,-1,-1,407,-1,421,-1,2848,-1
84,248,-1,-1,-1,-1,-1,-1,-1,650,-1,239,-1,2181,-1
85,218,-1,-1,-1,-1,-1,-1,-1,869,-1,359,-1,1518,-1
86,184,-1,-1,-1,-1,-1,-1,-1,1007,-1,336,-1,76,-1
87,298,-1,-1,-1,-1,-1,-1,-1,964,-1,656,-1,22,-1
88,449,-1,-1,-1,-1,-1,-1,-1,801,-1,465,-1,124,-1
89,114,-1,-1,-1,-1,-1,-1,-1,218,-1,229,-1,2743,-1
90,279,-1,-1,-1,-1,-1,-1,-1,699,-1,649,-1,81,-1
91,36,-1,-1,-1,-1,-1,-1,-1,1221,-1,711,-1,868,-1
92,414,-1,-1,-1,-1,-1,-1,-1,1116,-1,550,-1,19,-1
93,174,-1,-1,-1,-1,-1,-1,-1,45,-1,218,-1,2167,-1
94,395,-1,-1,-1,-1,-1,-1,-1,975,-1,389,-1,2318,-1
95,240,-1,-1,-1,-1,-1,-1,-1,1298,-1,604,-1,485,-1
96,39,-1,-1,-1,-1,-1,-1,-1,1230,-1,703,-1,1400,-1
97,469,-1,-1,-1,-1,-1,-1,-1,1436,-1,463,-1,136,-1
98,86,-1,-1,-1,-1,-1,-1,-1,333,-1,339,-1,268,-1
99,126,-1,-1,-1,-1,-1,-1,-1,908,-1,530,-1,1649,-1
100,211,-1,-1,-1,-1,-1,-1,-1,700,-1,750,-1,1385,-1
101,356,-1,-1,-1,-1,-1,-1,-1,663,-1,304,-1,2086,-1
102,408,-1,-1,-1,-1,-1,-1,-1,57,-1,615,-1,231,-1
103,251,-1,-1,-1,-1,-1,-1,-1,1359,-1,686,-1,2543,-1
104,38,-1,-1,-1,-1,-1,-1,-1,778,-1,186,-1,1560,-1
105,273,-1,-1,-1,-1,-1,-1,-1,428,-1,88,-1,1898,-1
106,81,-1,-1,-1,-1,-1,-1,-1,329,-1,309,-1,406,-1
107,104,-1,-1,-1,-1,-1,-1,-1,678,-1,168,-1,1282,-1
108,246,-1,-1,-1,-1,-1,-1,-1,1325,-1,203,-1,1484,-1
109,234,-1,-1,-1,-1,-1,-1,-1,130,-1,494,-1,552,-1
110,220,-1,-1,-1,-1,-1,-1,-1,933,-1,642,-1,2932,-1
111,76,-1,-1,-1,-1,-1,-1,-1,1300,-1,249,-1,298,-1
112,362,-1,-1,-1,-1,-1,-1,-1,980,-1,16,-1,360,-1
113,454,-1,-1,-1,-1,-1,-1,-1,1225,-1,131,-1,1748,-1
114,363,-1,-1,-1,-1,-1,-1,-1,1034,-1,314,-1,1064,-1
115,25,-1,-1,-1,-1,-1,-1,-1,69,-1,235,-1,104,-1
116,224,-1,-1,-1,-1,-1,-1,-1,1327,-1,312,-1,1524,-1
117,384,-1,-1,-1,-1,-1,-1,-1,490,-1,30,-1,2191,-1
118,113,-1,-1,-1,-1,-1,-1,-1,337,-1,244,-1,2258,-1
119,186,-1,-1,-1,-1,-1,-1,-1,1458,-1,80,-1,65,-1
120,203,-1,-1,-1,-1,-1,-1,-1,595,-1,85,-1,2121,-1
121,361,-1,-1,-1,-1,-1,-1,-1,638,-1,15,-1,554,-1
122,116,-1,-1,-1,-1,-1,-1,-1,381,-1,706,-1,825,-1
123,23,-1,-1,-1,-1,-1,-1,-1,1363,-1,270,-1,139,-1
124,357,-1,-1,-1,-1,-1,-1,-1,657,-1,219,-1,1437,-1
125,368,-1,-1,-1,-1,-1,-1,-1,528,-1,114,-1,352,-1
126,302,-1,-1,-1,-1,-1,-1,-1,500,-1,425,-1,1496,-1
127,7,-1,-1,-1,-1,-1,-1,-1,1269,-1,352,-1,2723,-1
128,271,-1,-1,-1,-1,-1,-1,-1,1437,-1,450,-1,2857,-1
129,475,-1,-1,-1,-1,-1,-1,-1,1209,-1,548,-1,3021,-1
130,238,-1,-1,-1,-1,-1,-1,-1,281,-1,572,-1,242,-1
131,195,-1,-1,-1,-1,-1,-1,-1,1449,-1,318,-1,538,-1
132,417,-1,-1,-1,-1,-1,-1,-1,769,-1,132,-1,1542,-1
133,128,-1,-1,-1,-1,-1,-1,-1,1000,-1,166,-1,466,-1
134,175,-1,-1,-1,-1,-1,-1,-1,457,-1,46,-1,2654,-1
135,297,-1,-1,-1,-1,-1,-1,-1,721,-1,61,-1,672,-1
136,443,-1,-1,-1,-1,-1,-1,-1,332,-1,737,-1,743,-1
137,85,-1,-1,-1,-1,-1,-1,-1,835,-1,242,-1,1034,-1
138,284,-1,-1,-1,-1,-1,-1,-1,1137,-1,347,-1,1765,-1
139,138,-1,-1,-1,-1,-1,-1,-1,174,-1,161,-1,630,-1
140,118,-1,-1,-1,-1,-1,-1,-1,1168,-1,418,-1,44,-1
141,22,-1,-1,-1,-1,-1,-1,-1,1101,-1,379,-1,2580,-1
142,225,-1,-1,-1,-1,-1,-1,-1,613,-1,188,-1,71,-1
143,366,-1,-1,-1,-1,-1,-1,-1,35,-1,586,-1,1659,-1
144,17,-1,-1,-1,-1,-1,-1,-1,1114,-1,44,-1,60,-1
145,429,-1,-1,-1,-1,-1,-1,-1,1302,-1,33,-1,702,-1
146,154,-1,-1,-1,-1,-1,-1,-1,1520,-1,511,-1,1661,-1
147,301,-1,-1,-1,-1,-1,-1,-1,1063,-1,736,-1,2046,-1
148,383,-1,-1,-1,-1,-1,-1,-1,902,-1,96,-1,1805,-1
149,351,-1,-1,-1,-1,-1,-1,-1,543,-1,542,-1,251,-1
150,197,-1,-1,-1,-1,-1,-1,-1,1147,-1,514,-1,2182,-1
151,171,-1,-1,-1,-1,-1,-1,-1,1090,-1,484,-1,1216,-1
152,260,-1,-1,-1,-1,-1,-1,-1,1207,-1,688,-1,2170,-1
153,163,-1,-1,-1,-1,-1,-1,-1,1460,-1,212,-1,1557,-1
154,71,-1,-1,-1,-1,-1,-1,-1,1301,-1,422,-1,1436,-1
155,191,-1,-1,-1,-1,-1,-1,-1,976,-1,334,-1,1362,-1
156,481,-1,-1,-1,-1,-1,-1,-1,49,-1,287,-1,428,-1
157,476,-1,-1,-1,-1,-1,-1,-1,648,-1,723,-1,703,-1
158,300,-1,-1,-1,-1,-1,-1,-1,675,-1,692,-1,1558,-1
159,3,-1,-1,-1,-1,-1,-1,-1,427,-1,378,-1,45,-1
160,434,-1,-1,-1,-1,-1,-1,-1,1079,-1,469,-1,2457,-1
161,80,-1,-1,-1,-1,-1,-1,-1,383,-1,630,-1,2251,-1
162,142,-1,-1,-1,-1,-1,-1,-1,30,-1,732,-1,523,-1
163,82,-1,-1,-1,-1,-1,-1,-1,217,-1,170,-1,411,-1
164,458,-1,-1,-1,-1,-1,-1,-1,248,-1,534,-1,1328,-1
165,26,-1,-1,-1,-1,-1,-1,-1,691,-1,458,-1,2987,-1
166,252,-1,-1,-1,-1,-1,-1,-1,1154,-1,415,-1,2448,-1
167,35,-1,-1,-1,-1,-1,-1,-1,852,-1,83,-1,2790,-1
168,119,-1,-1,-1,-1,-1,-1,-1,1408,-1,624,-1,64,-1
169,446,-1,-1,-1,-1,-1,-1,-1,724,-1,697,-1,920,-1
170,282,-1,-1,-1,-1,-1,-1,-1,74,-1,179,-1,2310,-1
171,105,-1,-1,-1,-1,-1,-1,-1,1265,-1,19,-1,96,-1
172,275,-1,-1,-1,-1,-1,-1,-1,1467,-1,588,-1,973,-1
173,232,-1,-1,-1,-1,-1,-1,-1,1453,-1,661,-1,1277,-1
174,4,-1,-1,-1,-1,-1,-1,-1,1039,-1,228,-1,2377,-1
175,110,-1,-1,-1,-1,-1,-1,-1,519,-1,62,-1,2392,-1
176,480,-1,-1,-1,-1,-1,-1,-1,1293,-1,342,-1,1011,-1
177,78,-1,-1,-1,-1,-1,-1,-1,97,-1,117,-1,2094,-1
178,262,-1,-1,-1,-1,-1,-1,-1,283,-1,674,-1,655,-1
179,106,-1,-1,-1,-1,-1,-1,-1,377,-1,241,-1,1234,-1
180,346,-1,-1,-1,-1,-1,-1,-1,216,-1,155,-1,1554,-1
181,304,-1,-1,-1,-1,-1,-1,-1,1273,-1,488,-1,472,-1
182,247,-1,-1,-1,-1,-1,-1,-1,287,-1,365,-1,1769,-1
183,264,-1,-1,-1,-1,-1,-1,-1,1322,-1,730,-1,2090,-1
184,79,-1,-1,-1,-1,-1,-1,-1,1277,-1,254,-1,2092,-1
185,416,-1,-1,-1,-1,-1,-1,-1,98,-1,129,-1,1766,-1
186,168,-1,-1,-1,-1,-1,-1,-1,250,-1,142,-1,164,-1
187,96,-1,-1,-1,-1,-1,-1,-1,1349,-1,634,-1,693,-1
188,143,-1,-1,-1,-1,-1,-1,-1,1523,-1,74,-1,2040,-1
189,194,-1,-1,-1,-1,-1,-1,-1,1500,-1,400,-1,592,-1
190,244,-1,-1,-1,-1,-1,-1,-1,1371,-1,169,-1,544,-1
191,10,-1,-1,-1,-1,-1,-1,-1,1394,-1,740,-1,782,-1
192,258,-1,-1,-1,-1,-1,-1,-1,148,-1,366,-1,2886,-1
193,296,-1,-1,-1,-1,-1,-1,-1,765,-1,108,-1,359,-1
194,122,-1,-1,-1,-1,-1,-1,-1,568,-1,489,-1,3076,-1
195,167,-1,-1,-1,-1,-1,-1,-1,1257,-1,274,-1,378,-1
196,73,-1,-1,-1,-1,-1,-1,-1,1332,-1,273,-1,800,-1
197,91,-1,-1,-1,-1,-1,-1,-1,1086,-1,165,-1,1697,-1
198,137,-1,-1,-1,-1,-1,-1,-1,1027,-1,495,-1,1916,-1
199,371,-1,-1,-1,-1,-1,-1,-1,942,-1,499,-1,1596,-1
200,20,-1,-1,-1,-1,-1,-1,-1,1266,-1,11,-1,402,-1
201,236,-1,-1,-1,-1,-1,-1,-1,384,-1,487,-1,778,-1
202,75,-1,-1,-1,-1,-1,-1,-1,142,-1,215,-1,1868,-1
203,348,-1,-1,-1,-1,-1,-1,-1,1344,-1,329,-1,2858,-1
204,321,-1,-1,-1,-1,-1,-1,-1,630,-1,145,-1,1610,-1
205,19,-1,-1,-1,-1,-1,-1,-1,673,-1,174,-1,2740,-1
206,123,-1,-1,-1,-1,-1,-1,-1,1044,-1,276,-1,2850,-1
207,24,-1,-1,-1,-1,-1,-1,-1,793,-1,333,-1,158,-1
208,228,-1,-1,-1,-1,-1,-1,-1,875,-1,375,-1,3079,-1
209,158,-1,-1,-1,-1,-1,-1,-1,275,-1,308,-1,2634,-1
210,100,-1,-1,-1,-1,-1,-1,-1,450,-1,99,-1,1049,-1
211,378,-1,-1,-1,-1,-1,-1,-1,1105,-1,510,-1,2921,-1
212,411,-1,-1,-1,-1,-1,-1,-1,1156,-1,454,-1,180,-1
213,41,-1,-1,-1,-1,-1,-1,-1,827,-1,95,-1,1133,-1
214,287,-1,-1,-1,-1,-1,-1,-1,52,-1,160,-1,2266,-1
215,397,-1,-1,-1,-1,-1,-1,-1,444,-1,340,-1,2666,-1
216,431,-1,-1,-1,-1,-1,-1,-1,828,-1,506,-1,1267,-1
217,147,-1,-1,-1,-1,-1,-1,-1,90,-1,492,-1,2942,-1
218,472,-1,-1,-1,-1,-1,-1,-1,880,-1,156,-1,2994,-1
219,185,-1,-1,-1,-1,-1,-1,-1,327,-1,162,-1,3067,-1
220,243,-1,-1,-1,-1,-1,-1,-1,320,-1,227,-1,2705,-1
221,217,-1,-1,-1,-1,-1,-1,-1,1427,-1,143,-1,1629,-1
222,202,-1,-1,-1,-1,-1,-1,-1,354,-1,150,-1,2708,-1
223,102,-1,-1,-1,-1,-1,-1,-1,1163,-1,470,-1,2248,-1
224,34,-1,-1,-1,-1,-1,-1,-1,60,-1,42,-1,2796,-1
225,127,-1,-1,-1,-1,-1,-1,-1,124,-1,111,-1,3014,-1
226,83,-1,-1,-1,-1,-1,-1,-1,529,-1,475,-1,2261,-1
227,370,-1,-1,-1,-1,-1,-1,-1,542,-1,12,-1,119,-1
228,294,-1,-1,-1,-1,-1,-1,-1,961,-1,47,-1,2882,-1
229,223,-1,-1,-1,-1,-1,-1,-1,830,-1,73,-1,1770,-1
230,208,-1,-1,-1,-1,-1,-1,-1,868,-1,648,-1,409,-1
231,101,-1,-1,-1,-1,-1,-1,-1,594,-1,430,-1,2749,-1
232,385,-1,-1,-1,-1,-1,-1,-1,1434,-1,216,-1,923,-1
233,290,-1,-1,-1,-1,-1,-1,-1,1122,-1,518,-1,1348,-1
234,444,-1,-1,-1,-1,-1,-1,-1,1078,-1,616,-1,1212,-1
235,32,-1,-1,-1,-1,-1,-1,-1,1129,-1,527,-1,2586,-1
236,412,-1,-1,-1,-1,-1,-1,-1,923,-1,486,-1,2431,-1
237,254,-1,-1,-1,-1,-1,-1,-1,883,-1,260,-1,2973,-1
238,396,-1,-1,-1,-1,-1,-1,-1,288,-1,236,-1,3075,-1
239,428,-1,-1,-1,-1,-1,-1,-1,286,-1,524,-1,1891,-1
240,406,-1,-1,-1,-1,-1,-1,-1,679,-1,552,-1,636,-1
241,74,-1,-1,-1,-1,-1,-1,-1,1038,-1,587,-1,312,-1
242,170,-1,-1,-1,-1,-1,-1,-1,1355,-1,603,-1,1846,-1
243,400,-1,-1,-1,-1,-1,-1,-1,783,-1,666,-1,361,-1
244,190,-1,-1,-1,-1,-1,-1,-1,1497,-1,535,-1,367,-1
245,129,-1,-1,-1,-1,-1,-1,-1,958,-1,72,-1,310,-1
246,109,-1,-1,-1,-1,-1,-1,-1,1223,-1,620,-1,628,-1
247,369,-1,-1,-1,-1,-1,-1,-1,475,-1,301,-1,1833,-1
248,261,-1,-1,-1,-1,-1,-1,-1,1342,-1,71,-1,1977,-1
249,418,-1,-1,-1,-1,-1,-1,-1,1426,-1,109,-1,2585,-1
250,237,-1,-1,-1,-1,-1,-1,-1,199,-1,268,-1,2157,-1
251,219,-1,-1,-1,-1,-1,-1,-1,244,-1,17,-1,2601,-1
252,221,-1,-1,-1,-1,-1,-1,-1,564,-1,733,-1,2440,-1
253,95,-1,-1,-1,-1,-1,-1,-1,1447,-1,101,-1,497,-1
254,192,-1,-1,-1,-1,-1,-1,-1,892,-1,529,-1,235,-1
255,377,-1,-1,-1,-1,-1,-1,-1,1214,-1,707,-1,848,-1
256,255,-1,-1,-1,-1,-1,-1,-1,158,-1,549,-1,2561,-1
257,107,-1,-1,-1,-1,-1,-1,-1,262,-1,189,-1,2715,-1
258,201,-1,-1,-1,-1,-1,-1,-1,554,-1,536,-1,2657,-1
259,483,-1,-1,-1,-1,-1,-1,-1,643,-1,493,-1,1481,-1
260,5,-1,-1,-1,-1,-1,-1,-1,939,-1,303,-1,632,-1
261,330,-1,-1,-1,-1,-1,-1,-1,814,-1,194,-1,264,-1
262,169,-1,-1,-1,-1,-1,-1,-1,149,-1,326,-1,1646,-1
263,180,-1,-1,-1,-1,-1,-1,-1,319,-1,459,-1,52,-1
264,222,-1,-1,-1,-1,-1,-1,-1,1286,-1,255,-1,2077,-1
265,479,-1,-1,-1,-1,-1,-1,-1,1294,-1,247,-1,823,-1
266,239,-1,-1,-1,-1,-1,-1,-1,372,-1,320,-1,2488,-1
267,8,-1,-1,-1,-1,-1,-1,-1,1100,-1,195,-1,345,-1
268,226,-1,-1,-1,-1,-1,-1,-1,1117,-1,756,-1,516,-1
269,37,-1,-1,-1,-1,-1,-1,-1,243,-1,693,-1,2636,-1
270,245,-1,-1,-1,-1,-1,-1,-1,408,-1,515,-1,1439,-1
271,188,-1,-1,-1,-1,-1,-1,-1,140,-1,713,-1,861,-1
272,99,-1,-1,-1,-1,-1,-1,-1,537,-1,84,-1,2976,-1
273,456,-1,-1,-1,-1,-1,-1,-1,1317,-1,448,-1,668,-1
274,172,-1,-1,-1,-1,-1,-1,-1,660,-1,22,-1,1358,-1
275,213,-1,-1,-1,-1,-1,-1,-1,1226,-1,704,-1,2036,-1
276,6,-1,-1,-1,-1,-1,-1,-1,1103,-1,56,-1,2985,-1
277,403,-1,-1,-1,-1,-1,-1,-1,659,-1,193,-1,2379,-1
278,206,-1,-1,-1,-1,-1,-1,-1,180,-1,210,-1,2024,-1
279,488,-1,-1,-1,-1,-1,-1,-1,1468,-1,317,-1,789,-1
280,331,-1,-1,-1,-1,-1,-1,-1,1049,-1,633,-1,2865,-1
281,393,-1,-1,-1,-1,-1,-1,-1,826,-1,266,-1,2664,-1
282,97,-1,-1,-1,-1,-1,-1,-1,101,-1,553,-1,2287,-1
283,108,-1,-1,-1,-1,-1,-1,-1,211,-1,264,-1,1274,-1
284,355,-1,-1,-1,-1,-1,-1,-1,1470,-1,55,-1,2943,-1
285,149,-1,-1,-1,-1,-1,-1,-1,1170,-1,613,-1,188,-1
286,360,-1,-1,-1,-1,-1,-1,-1,1172,-1,745,-1,1393,-1
287,27,-1,-1,-1,-1,-1,-1,-1,530,-1,582,-1,1356,-1
288,103,-1,-1,-1,-1,-1,-1,-1,206,-1,739,-1,1245,-1
289,200,-1,-1,-1,-1,-1,-1,-1,1130,-1,315,-1,1642,-1
290,283,-1,-1,-1,-1,-1,-1,-1,188,-1,373,-1,2661,-1
291,404,-1,-1,-1,-1,-1,-1,-1,629,-1,10,-1,2137,-1
292,380,-1,-1,-1,-1,-1,-1,-1,1443,-1,539,-1,338,-1
293,157,-1,-1,-1,-1,-1,-1,-1,870,-1,621,-1,1842,-1
294,133,-1,-1,-1,-1,-1,-1,-1,417,-1,652,-1,2031,-1
295,148,-1,-1,-1,-1,-1,-1,-1,1071,-1,285,-1,1042,-1
296,405,-1,-1,-1,-1,-1,-1,-1,1205,-1,311,-1,1309,-1
297,117,-1,-1,-1,-1,-1,-1,-1,1459,-1,533,-1,2194,-1
298,292,-1,-1,-1,-1,-1,-1,-1,1018,-1,555,-1,1307,-1
299,415,-1,-1,-1,-1,-1,-1,-1,1081,-1,356,-1,2010,-1
300,145,-1,-1,-1,-1,-1,-1,-1,1233,-1,577,-1,116,-1
301,453,-1,-1,-1,-1,-1,-1,-1,249,-1,655,-1,1102,-1
302,92,-1,-1,-1,-1,-1,-1,-1,499,-1,199,-1,337,-1
303,189,-1,-1,-1,-1,-1,-1,-1,1136,-1,277,-1,2941,-1
304,72,-1,-1,-1,-1,-1,-1,-1,1336,-1,426,-1,987,-1
305,257,-1,-1,-1,-1,-1,-1,-1,1235,-1,744,-1,1219,-1
306,14,-1,-1,-1,-1,-1,-1,-1,915,-1,734,-1,1408,-1
307,388,-1,-1,-1,-1,-1,-1,-1,267,-1,695,-1,1637,-1
308,9,-1,-1,-1,-1,-1,-1,-1,1429,-1,567,-1,2523,-1
309,21,-1,-1,-1,-1,-1,-1,-1,1456,-1,237,-1,1622,-1
310,241,-1,-1,-1,-1,-1,-1,-1,164,-1,408,-1,3066,-1
311,445,-1,-1,-1,-1,-1,-1,-1,361,-1,507,-1,197,-1
312,235,-1,-1,-1,-1,-1,-1,-1,1058,-1,665,-1,1045,-1
313,181,-1,-1,-1,-1,-1,-1,-1,957,-1,97,-1,1377,-1
314,274,-1,-1,-1,-1,-1,-1,-1,990,-1,462,-1,134,-1
315,182,-1,-1,-1,-1,-1,-1,-1,1454,-1,420,-1,233,-1
316,199,-1,-1,-1,-1,-1,-1,-1,135,-1,438,-1,2840,-1
317,173,-1,-1,-1,-1,-1,-1,-1,1016,-1,263,-1,1901,-1
318,407,-1,-1,-1,-1,-1,-1,-1,1234,-1,222,-1,358,-1
319,12,-1,-1,-1,-1,-1,-1,-1,586,-1,416,-1,1715,-1
320,457,-1,-1,-1,-1,-1,-1,-1,1506,-1,102,-1,2633,-1
321,132,-1,-1,-1,-1,-1,-1,-1,342,-1,182,-1,2208,-1
322,452,-1,-1,-1,-1,-1,-1,-1,282,-1,94,-1,362,-1
323,288,-1,-1,-1,-1,-1,-1,-1,1338,-1,423,-1,2021,-1
324,161,-1,-1,-1,-1,-1,-1,-1,132,-1,360,-1,153,-1
