urls,proc_pid
http://www.expedia.com/favicon.ico,144.0
http://uk.ask.com/favicon.ico,644.0
http://www.priceminister.com/,1376.0
http://www.iask.com/favicon.ico,1744.0
http://www.merlin.com.pl/favicon.ico,1908.0
http://www.cnet.com/favicon.ico,2020.0
http://search.nifty.com/,N/A
http://ns.adobe.com/exif/1.0/,2144.0
http://www.etmall.com.tw/,2368.0
http://search.goo.ne.jp/,2536.0
http://fr.wikipedia.org/favicon.ico,2564.0
http://busca.estadao.com.br/favicon.ico,2660.0
http://search.hanafos.com/favicon.ico,2860.0
http://search.chol.com/favicon.ico,3056.0
http://amazon.fr/,N/A
http://www.amazon.co.jp/,N/A
http://www.mtv.com/favicon.ico,N/A
http://busqueda.aol.com.mx/,N/A
http://search.live.com/results.aspx?FORM=SOLTDF,N/A
http://msdn.microsoft.com/,N/A
http://msdn.microsoft.com/workshop/security/privacy/overview/privacyimportxml.asp),N/A
http://www.sify.com/favicon.ico,N/A
http://yellowpages.superpages.com/,N/A
http://suche.freenet.de/,N/A
http://search.aol.com/,N/A
http://browse.guardian.co.uk/,N/A
http://www.mercadolibre.com.mx/,N/A
http://www.asharqalawsat.com/,N/A
http://www.facebook.com/,N/A
http://si.wikipedia.org/favicon.ico,N/A
http://www.rtl.de/favicon.ico,N/A
http://search.msn.com/results.aspx?q=,N/A
http://www.microsoft.com.,N/A
http://search.naver.com/favicon.ico,N/A
http://en.wikipedia.org/favicon.ico,N/A
http://si.wikipedia.org/w/api.php?action=opensearch,N/A
http://udn.com/favicon.ico,N/A
http://rover.ebay.com,N/A
http://search.ebay.fr/,N/A
http://www.univision.com/,N/A
http://pt.wikipedia.org/w/api.php?action=opensearch,N/A
http://it.wikipedia.org/favicon.ico,N/A
http://uk.ask.com/,N/A
http://www.google.co.uk/,N/A
http://cnweb.search.live.com/results.aspx?q=,N/A
http://www.google.cz/,N/A
http://www.google.co.jp/,N/A
http://search.ebay.co.uk/,N/A
http://www.weather.com/,N/A
http://www.taobao.com/favicon.ico,N/A
http://www.news.com.au/favicon.ico,N/A
http://search.orange.co.uk/favicon.ico,N/A
http://video.globo.com/,N/A
http://search.ebay.de/,N/A
http://www.taobao.com/,N/A
http://corp.naukri.com/favicon.ico,N/A
http://www.servicios.clarin.com/,N/A
http://localhost,N/A
http://www.rambler.ru/favicon.ico,N/A
http://www.linternaute.com/favicon.ico,N/A
http://ns.adobe.com/photoshop/1.0/,N/A
http://www.shopzilla.com/,N/A
http://www.amazon.com/gp/search?ie=UTF8,N/A
http://search.live.com/results.aspx?FORM=SO2TDF,N/A
http://busca.orange.es/,N/A
http://www.excite.co.jp/,N/A
http://cs.wikipedia.org/,N/A
http://www.gismeteo.ru/favicon.ico,N/A
http://www.cjmall.com/favicon.ico,N/A
http://suche.t-online.de/,N/A
http://www.ya.com/favicon.ico,N/A
http://www.priceminister.com/favicon.ico,N/A
http://www.mercadolibre.com.mx/favicon.ico,N/A
http://ns.adobe.com/tiff/1.0/,N/A
http://www.otto.de/favicon.ico,N/A
http://www.iask.com/,N/A
http://www.arrakis.com/,N/A
http://www.microsofttranslator.com/BVPrev.aspx?ref=IE8Activity,N/A
http://search.hanafos.com/,N/A
http://search.gamer.com.tw/,N/A
http://www.tiscali.it/favicon.ico,N/A
http://ns.adobe.com/xap/1.0/,N/A
http://www.soso.com/favicon.ico,N/A
http://recherche.tf1.fr/,N/A
http://si.wikipedia.org/,N/A
http://search.livedoor.com/,N/A
http://search.centrum.cz/,N/A
http://www.auction.co.kr/auction.ico,N/A
http://www.t-online.de/favicon.ico,N/A
http://ja.wikipedia.org/favicon.ico,N/A
http://www.abril.com.br/favicon.ico,N/A
http://clients5.google.com/complete/search?hl=,N/A
http://www.ozon.ru/,N/A
http://search.alice.it/,N/A
http://www.microsoft.com/windowsxp/expertzone/,N/A
http://search.yahoo.co.jp/favicon.ico,N/A
http://cnet.search.com/,N/A
http://www.walmart.com/,N/A
http://espn.go.com/favicon.ico,N/A
http://msdn.microsoft.com/workshop/security/szone/overview/templates.asp),N/A
http://search.interpark.com/,N/A
http://www.gmarket.co.kr/favicon.ico,N/A
http://www.neckermann.de/favicon.ico,N/A
http://sitesearch.timesonline.co.uk/,N/A
http://cn.bing.com/search?q=,N/A
http://video.globo.com/favicon.ico,N/A
http://es.wikipedia.org/,N/A
http://img.atlas.cz/favicon.ico,N/A
http://searchresults.news.com.au/,N/A
http://search.rediff.com/,N/A
http://search.lycos.co.uk/,N/A
http://en.wikipedia.org/,N/A
http://www.google.com.tw/,N/A
http://www.tchibo.de/,N/A
http://www.google.com/,N/A
http://buscador.terra.es/,N/A
http://search.msn.co.jp/results.aspx?q=,N/A
http://www.mercadolivre.com.br/favicon.ico,N/A
http://ja.wikipedia.org/,N/A
http://search.chol.com/,N/A
http://search.espn.go.com/,N/A
http://www.google.com.sa/,N/A
http://jobsearch.monster.com/,N/A
http://buscador.terra.com/,N/A
http://www.google.co.in/,N/A
http://www.google.fr/,N/A
http://www.cdiscount.com/favicon.ico,N/A
http://asp.usatoday.com/,N/A
http://vachercher.lycos.fr/,N/A
http://www.yam.com/favicon.ico,N/A
http://search.sify.com/,N/A
http://search.ebay.com/favicon.ico,N/A
http://www.paginasamarillas.es/,N/A
http://nl.wikipedia.org/,N/A
http://search.alice.it/favicon.ico,N/A
http://www.ask.com/,N/A
http://www.so-net.ne.jp/share/favicon.ico,N/A
http://espanol.search.yahoo.com/,N/A
http://www.alarabiya.net/favicon.ico,N/A
http://ocnsearch.goo.ne.jp/,N/A
http://list.taobao.com/,N/A
http://buscador.terra.com.br/,N/A
http://search.msn.co.uk/results.aspx?q=,N/A
http://www.google.de/,N/A
http://busca.igbusca.com.br//app/static/images/favicon.ico,N/A
http://www.rambler.ru/,N/A
http://purl.org/dc/elements/1.1/,N/A
http://www.cdiscount.com/,N/A
http://www.mercadolivre.com.br/,N/A
http://www.facebook.com/favicon.ico,N/A
http://search.ebay.es/,N/A
http://sads.myspace.com/,N/A
http://suche.web.de/,N/A
http://recherche.tf1.fr/favicon.ico,N/A
http://cs.wikipedia.org/w/api.php?action=opensearch,N/A
http://search.dreamwiz.com/,N/A
http://xml-us.amznxslt.com/onca/xml?Service=AWSECommerceService,N/A
http://www.yandex.ru/,N/A
http://www.baidu.com/favicon.ico,N/A
http://ariadna.elmundo.es/,N/A
http://www.rtl.de/,N/A
http://es.search.yahoo.com/,N/A
http://p.zhongsou.com/,N/A
http://es.wikipedia.org/favicon.ico,N/A
http://www.timesonline.co.uk/img/favicon.ico,N/A
http://buscar.ozu.es/,N/A
http://so-net.search.goo.ne.jp/,N/A
http://cgi.search.biglobe.ne.jp/favicon.ico,N/A
http://list.taobao.com/browse/search_visual.htm?n=15,N/A
http://www.soso.com/,N/A
http://www.afisha.ru/App_Themes/Default/images/favicon.ico,N/A
http://img.shopzilla.com/shopzilla/shopzilla.ico,N/A
http://wellformedweb.org/CommentAPI/,N/A
http://search.orange.co.uk/,N/A
http://ariadna.elmundo.es/favicon.ico,N/A
http://it.wikipedia.org/,N/A
http://www3.fnac.com/favicon.ico,N/A
http://en.wikipedia.org/w/api.php?action=opensearch,N/A
http://support.microsoft.com,N/A
http://in.search.yahoo.com/,N/A
http://www.etmall.com.tw/favicon.ico,N/A
http://www.ceneo.pl/favicon.ico,N/A
http://service2.bfast.com/,N/A
http://tw.search.yahoo.com/,N/A
http://es.ask.com/,N/A
http://www.ozu.es/favicon.ico,N/A
http://ru.wikipedia.org/,N/A
http://google.pchome.com.tw/,N/A
http://p.zhongsou.com/favicon.ico,N/A
http://search.ebay.com/,N/A
http://search1.taobao.com/,N/A
http://br.search.yahoo.com/,N/A
http://suche.lycos.de/,N/A
http://www.asharqalawsat.com/favicon.ico,N/A
http://mail.live.com/,N/A
http://ru.search.yahoo.com,N/A
http://de.wikipedia.org/,N/A
http://find.joins.com/,N/A
http://ns.adobe.com/xap/1.0/mm/,N/A
http://www.google.ru/,N/A
http://busca.uol.com.br/favicon.ico,N/A
http://search.seznam.cz/,N/A
http://de.wikipedia.org/w/api.php?action=opensearch,N/A
http://www.expedia.com/,N/A
http://www.clarin.com/favicon.ico,N/A
http://busca.uol.com.br/,N/A
http://mail.live.com/?rru=compose%3Fsubject%3D,N/A
http://buscador.terra.com/favicon.ico,N/A
http://search.nate.com/,N/A
http://purl.org/rss/1.0/modules/slash/,N/A
http://ie8.ebay.com/open-search/output-xml.php?q=,N/A
http://www.kkbox.com.tw/favicon.ico,N/A
http://www.ocn.ne.jp/favicon.ico,N/A
http://corp.naukri.com/,N/A
http://www.amazon.com/exec/obidos/external-search/104-2981279-3455918?index=blended,N/A
http://www.microsofttranslator.com/BV.aspx?ref=IE8Activity,N/A
http://www.recherche.aol.fr/,N/A
