,file,urls,proc_pid,udp,tcp,hosts,requests,domains,pid,process_name,ppid,file_created,dll_loaded,regkey_opened,command_line,regkey_read,regkey_written
10,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13994460, 'time': 89.91221690177917, 'dport': 53, 'sport': 51744}","{'src': '192.168.56.50', 'dst': '13.88.21.125', 'offset': 12025207, 'time': 72.82151198387146, 'dport': 443, 'sport': 49704}",192.16.48.200,update.googleapis.com,"{'ip': '13.107.246.10', 'domain': 'pti.store.microsoft.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13994851, 'time': 76.48991703987122, 'dport': 53, 'sport': 51889}","{'src': '192.168.56.50', 'dst': '13.88.21.125', 'offset': 12037753, 'time': 76.01352381706238, 'dport': 443, 'sport': 49706}",192.16.58.8,watson.telemetry.microsoft.com,"{'ip': '40.64.100.89', 'domain': 'displaycatalog.mp.microsoft.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13995235, 'time': 41.79385781288147, 'dport': 53, 'sport': 51951}","{'src': '192.168.56.50', 'dst': '13.88.21.125', 'offset': 12051039, 'time': 78.31440901756287, 'dport': 443, 'sport': 49709}",204.79.197.200,iecvlist.microsoft.com,"{'ip': '192.16.58.8', 'domain': 'ocsp.digicert.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13995537, 'time': 103.12710785865784, 'dport': 53, 'sport': 52436}","{'src': '192.168.56.50', 'dst': '172.217.0.174', 'offset': 12063263, 'time': 92.45273089408875, 'dport': 443, 'sport': 49720}",205.185.216.42,cp601.prod.do.dsp.mp.microsoft.com,"{'ip': '13.107.4.52', 'domain': 'www.msftconnecttest.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13995963, 'time': 75.4547188282013, 'dport': 53, 'sport': 52643}","{'src': '192.168.56.50', 'dst': '172.217.3.131', 'offset': 12070385, 'time': 92.51813197135925, 'dport': 443, 'sport': 49721}",23.14.81.129,www.msftconnecttest.com,"{'ip': '172.217.2.195', 'domain': 'update.googleapis.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13996296, 'time': 92.26199698448181, 'dport': 53, 'sport': 52690}","{'src': '192.168.56.50', 'dst': '172.217.3.131', 'offset': 12078148, 'time': 155.0805218219757, 'dport': 443, 'sport': 49736}",23.47.68.94,login.live.com,"{'ip': '204.79.197.200', 'domain': 'www.bing.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13996526, 'time': 71.68698382377625, 'dport': 53, 'sport': 52731}","{'src': '192.168.56.50', 'dst': '186.47.206.169', 'offset': 12089058, 'time': 92.65725684165955, 'dport': 80, 'sport': 49722}",40.64.101.146,displaycatalog.mp.microsoft.com,"{'ip': '65.8.246.5', 'domain': 'updates.bravesoftware.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13996868, 'time': 105.35866093635559, 'dport': 53, 'sport': 53792}","{'src': '192.168.56.50', 'dst': '186.47.206.169', 'offset': 12090335, 'time': 94.29884886741638, 'dport': 80, 'sport': 49723}",40.88.32.150,updates-cdn.bravesoftware.com,"{'ip': '192.16.48.200', 'domain': 'iecvlist.microsoft.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13997145, 'time': 60.323179960250854, 'dport': 53, 'sport': 54262}","{'src': '192.168.56.50', 'dst': '192.16.48.200', 'offset': 12099897, 'time': 15.931725025177002, 'dport': 443, 'sport': 49673}",40.90.22.184,go.microsoft.com,"{'ip': '40.90.23.206', 'domain': 'login.live.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13997494, 'time': 31.281606912612915, 'dport': 53, 'sport': 54310}","{'src': '192.168.56.50', 'dst': '192.16.58.8', 'offset': 12123187, 'time': 31.502861976623535, 'dport': 80, 'sport': 49681}",52.148.148.114,geo.prod.do.dsp.mp.microsoft.com,"{'ip': '52.229.171.202', 'domain': 'slscr.update.microsoft.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13997728, 'time': 11.749686002731323, 'dport': 53, 'sport': 55298}","{'src': '192.168.56.50', 'dst': '192.16.58.8', 'offset': 12126194, 'time': 31.973171949386597, 'dport': 80, 'sport': 49682}",52.167.249.196,ocsp.digicert.com,"{'ip': '23.10.143.130', 'domain': 'cp601.prod.do.dsp.mp.microsoft.com'}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13998024, 'time': 75.66147494316101, 'dport': 53, 'sport': 55922}","{'src': '192.168.56.50', 'dst': '192.16.58.8', 'offset': 12128092, 'time': 62.5620219707489, 'dport': 80, 'sport': 49691}",52.177.165.30,DESKTOP-OAAOTHK.local,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13998344, 'time': 92.2549798488617, 'dport': 53, 'sport': 57374}","{'src': '192.168.56.50', 'dst': '192.16.58.8', 'offset': 12129996, 'time': 92.05777096748352, 'dport': 80, 'sport': 49718}",52.191.219.104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13998554, 'time': 96.45105385780334, 'dport': 53, 'sport': 58479}","{'src': '192.168.56.50', 'dst': '204.79.197.200', 'offset': 12135232, 'time': 91.79584884643555, 'dport': 443, 'sport': 49717}",65.8.246.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,N/A,N/A,N/A,"{'src': '192.168.56.50', 'dst': '8.8.8.8', 'offset': 13998874, 'time': 91.55918097496033, 'dport': 53, 'sport': 58864}","{'src': '192.168.56.50', 'dst': '205.185.216.42', 'offset': 13464868, 'time': 17.64551591873169, 'dport': 80, 'sport': 49676}",8.8.8.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
